%  columns=["iteration, evaluation, sigma, void, void, stds==sigma*sqrt(diag(C))" (startseed=209527, 2014/10/30 12:9:20.28)
1 10 2.650255e-01 0 0 2.605061e-01 2.605843e-01 2.605875e-01 2.685967e-01 2.607001e-01 2.589649e-01 2.589488e-01 
2 19 2.604566e-01 0 0 2.510375e-01 2.576260e-01 2.614859e-01 2.617580e-01 2.549899e-01 2.512685e-01 2.531205e-01 
3 28 2.657083e-01 0 0 2.666470e-01 2.575947e-01 2.612954e-01 2.641370e-01 2.607980e-01 2.546551e-01 2.602918e-01 
4 37 3.172874e-01 0 0 3.213119e-01 3.078190e-01 3.130639e-01 3.135657e-01 3.197777e-01 3.003008e-01 3.081491e-01 
5 46 3.973328e-01 0 0 4.088718e-01 3.841489e-01 3.862452e-01 3.908191e-01 4.075384e-01 3.742479e-01 3.831358e-01 
6 55 5.084310e-01 0 0 5.326992e-01 4.855935e-01 4.884627e-01 5.004223e-01 5.182906e-01 4.708230e-01 4.960613e-01 
7 64 5.982934e-01 0 0 6.170216e-01 5.653184e-01 5.628910e-01 5.756410e-01 6.070137e-01 5.446218e-01 6.238582e-01 
8 73 7.324337e-01 0 0 7.568094e-01 6.866734e-01 7.125624e-01 6.953580e-01 7.421663e-01 6.610024e-01 7.706307e-01 
9 82 8.487871e-01 0 0 8.674362e-01 7.819285e-01 8.375134e-01 7.850645e-01 8.520589e-01 7.573829e-01 8.738697e-01 
10 91 8.775510e-01 0 0 8.838773e-01 7.966317e-01 8.547549e-01 7.926426e-01 8.619522e-01 7.648302e-01 8.823531e-01 
11 100 8.121287e-01 0 0 8.045670e-01 7.169743e-01 7.752932e-01 7.270267e-01 7.774638e-01 6.969221e-01 8.008940e-01 
12 109 7.700942e-01 0 0 7.542888e-01 6.746016e-01 7.187475e-01 6.755056e-01 7.272399e-01 6.543010e-01 7.542970e-01 
13 118 7.030748e-01 0 0 6.899543e-01 6.075218e-01 6.433025e-01 6.000299e-01 6.509439e-01 5.887094e-01 6.730714e-01 
14 127 6.088923e-01 0 0 5.833388e-01 5.133008e-01 5.453404e-01 5.117863e-01 5.507271e-01 4.981897e-01 5.670326e-01 
15 136 5.362253e-01 0 0 5.010285e-01 4.400038e-01 4.724704e-01 4.430316e-01 4.887309e-01 4.303652e-01 4.906557e-01 
16 145 4.904750e-01 0 0 4.492567e-01 4.022904e-01 4.224208e-01 3.998491e-01 4.367746e-01 3.863634e-01 4.414172e-01 
17 154 4.569510e-01 0 0 4.083484e-01 3.665383e-01 3.830192e-01 3.679536e-01 4.142320e-01 3.562807e-01 4.061003e-01 
18 163 3.901198e-01 0 0 3.420503e-01 3.067739e-01 3.203612e-01 3.061544e-01 3.518264e-01 2.987975e-01 3.405320e-01 
19 172 3.589080e-01 0 0 3.067424e-01 2.754220e-01 2.967062e-01 2.742765e-01 3.178245e-01 2.691605e-01 3.127653e-01 
20 181 3.392269e-01 0 0 2.834238e-01 2.533331e-01 2.744187e-01 2.550099e-01 2.988451e-01 2.529989e-01 2.919531e-01 
21 190 3.094819e-01 0 0 2.553838e-01 2.256788e-01 2.452098e-01 2.281769e-01 2.678052e-01 2.285172e-01 2.611726e-01 
22 199 2.668793e-01 0 0 2.155125e-01 1.920476e-01 2.058658e-01 1.942145e-01 2.283514e-01 1.919937e-01 2.206208e-01 
23 208 2.439588e-01 0 0 1.947941e-01 1.719114e-01 1.869562e-01 1.736855e-01 2.075965e-01 1.707980e-01 2.008773e-01 
24 217 2.406261e-01 0 0 1.922638e-01 1.710399e-01 1.800748e-01 1.722739e-01 2.069246e-01 1.701065e-01 1.936214e-01 
25 226 2.263215e-01 0 0 1.770736e-01 1.592786e-01 1.655895e-01 1.616338e-01 1.908648e-01 1.569011e-01 1.805898e-01 
26 235 2.525229e-01 0 0 1.949435e-01 2.038796e-01 1.802720e-01 1.851013e-01 2.074094e-01 1.723658e-01 2.003209e-01 
27 244 2.742287e-01 0 0 2.083347e-01 2.361443e-01 1.969019e-01 1.999178e-01 2.210410e-01 1.851212e-01 2.152210e-01 
28 253 2.541916e-01 0 0 1.895906e-01 2.206259e-01 1.782699e-01 1.829381e-01 2.009852e-01 1.691557e-01 1.982426e-01 
29 262 2.184891e-01 0 0 1.586844e-01 1.882006e-01 1.494726e-01 1.539601e-01 1.690519e-01 1.434439e-01 1.666469e-01 
30 271 2.028748e-01 0 0 1.449552e-01 1.729936e-01 1.414867e-01 1.402299e-01 1.532560e-01 1.298518e-01 1.520510e-01 
31 280 1.980771e-01 0 0 1.378406e-01 1.661114e-01 1.357543e-01 1.397694e-01 1.489083e-01 1.244966e-01 1.455982e-01 
32 289 1.700064e-01 0 0 1.152478e-01 1.421404e-01 1.137724e-01 1.174861e-01 1.245474e-01 1.045774e-01 1.227185e-01 
33 298 1.662187e-01 0 0 1.129118e-01 1.371424e-01 1.154220e-01 1.119069e-01 1.185804e-01 1.012687e-01 1.182170e-01 
34 307 1.508153e-01 0 0 9.994861e-02 1.234663e-01 1.045824e-01 9.936259e-02 1.064896e-01 8.967796e-02 1.061370e-01 
35 316 1.336072e-01 0 0 8.885460e-02 1.066512e-01 9.137907e-02 8.626275e-02 9.322550e-02 7.903015e-02 9.174992e-02 
36 325 1.382207e-01 0 0 8.970053e-02 1.155521e-01 9.461230e-02 8.703514e-02 1.004099e-01 8.079718e-02 9.314851e-02 
37 334 1.438863e-01 0 0 9.197534e-02 1.182112e-01 1.011690e-01 9.165903e-02 1.097639e-01 8.218332e-02 9.808249e-02 
